用例ID,用例名称,执行步骤,预期结果,转人工预期,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,来源分类,执行结果,缺陷记录,是否使用新会话,实际回复内容（英文）,知识库是否命中,回复是否准确,意图标签是否准确,实际识别的意图标签,转人工时机是否准确,备注
TC-H70-078-N,[提机规则] 门店说活动结束了，但我是在活动期内下单的，还能不能提？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「门店说活动结束了，但我是在活动期内下单的，还能不能提？」。步骤3：核对机器人识别的业务场景是否为「提机规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“门店说活动结束了，但我是在活动期内下单的，还能不能提？”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,门店说活动结束了，但我是在活动期内下单的，还能不能提？,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,门店说活动结束了，但我是在活动期内下单的，还能不能提？,"The store said the promotion has ended, but I placed my order during the promotional period. Can I still pick it up?",,,,,,,,,,,
TC-H70-079-N,[提机规则] 为什么别人同一门店能提，我不能提？资格规则到底是什么？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「为什么别人同一门店能提，我不能提？资格规则到底是什么？」。步骤3：核对机器人识别的业务场景是否为「提机规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“为什么别人同一门店能提，我不能提？资格规则到底是什么？”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,为什么别人同一门店能提，我不能提？资格规则到底是什么？,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,为什么别人同一门店能提，我不能提？资格规则到底是什么？,"Why can others make purchases at the same store, but I can't? What exactly are the eligibility rules?",,,,,,,,,,,
TC-H70-080-N,[活动权益] 门店让我换另一个手机号核销，这样会不会影响我的赠品？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「门店让我换另一个手机号核销，这样会不会影响我的赠品？」。步骤3：核对机器人识别的业务场景是否为「活动权益」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“门店让我换另一个手机号核销，这样会不会影响我的赠品？”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,门店让我换另一个手机号核销，这样会不会影响我的赠品？,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,门店让我换另一个手机号核销，这样会不会影响我的赠品？,The store asked me to use a different phone number for verification. Will this affect my gift?,,,,,,,,,,,
TC-H70-081-N,[提机规则] 核销时显示型号不匹配，但我预约的就是这个型号啊【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「核销时显示型号不匹配，但我预约的就是这个型号啊」。步骤3：核对机器人识别的业务场景是否为「提机规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“核销时显示型号不匹配，但我预约的就是这个型号啊”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,核销时显示型号不匹配，但我预约的就是这个型号啊,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,核销时显示型号不匹配，但我预约的就是这个型号啊,"It showed a model mismatch during verification, but this is the model I booked.",,,,,,,,,,,
TC-H70-082-N,[活动权益] 门店说手表没货，让我等，我可以换其他赠品？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「门店说手表没货，让我等，我可以换其他赠品？」。步骤3：核对机器人识别的业务场景是否为「活动权益」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“门店说手表没货，让我等，我可以换其他赠品？”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,门店说手表没货，让我等，我可以换其他赠品？,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,门店说手表没货，让我等，我可以换其他赠品？,The store said the watch was out of stock and asked me to wait. Can I exchange it for another free gift?,,,,,,,,,,,
TC-H70-083-N,[活动规则] 我不想买了，取消后多久能退我定金？会不会影响我以后参与活动？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「我不想买了，取消后多久能退我定金？会不会影响我以后参与活动？」。步骤3：核对机器人识别的业务场景是否为「活动规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“我不想买了，取消后多久能退我定金？会不会影响我以后参与活动？”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,我不想买了，取消后多久能退我定金？会不会影响我以后参与活动？,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我不想买了，取消后多久能退我定金？会不会影响我以后参与活动？,I don't want to buy it anymore. How long will it take to get my deposit back after I cancel? Will it affect my ability to participate in future promotions?,,,,,,,,,,,
TC-H70-084-N,[提机规则] 你们说可以换，门店说不行，那我该听谁的？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「你们说可以换，门店说不行，那我该听谁的？」。步骤3：核对机器人识别的业务场景是否为「提机规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“你们说可以换，门店说不行，那我该听谁的？”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,你们说可以换，门店说不行，那我该听谁的？,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,你们说可以换，门店说不行，那我该听谁的？,"You say it can be exchanged, but the store says it can't. So who should I listen to?",,,,,,,,,,,
TC-H70-085-N,[活动权益] 这个价格有点贵啊，多送点赠品吧【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「这个价格有点贵啊，多送点赠品吧」。步骤3：核对机器人识别的业务场景是否为「活动权益」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 这个价格有点贵啊，多送点赠品吧. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,这个价格有点贵啊，多送点赠品吧,"This price is a bit high, please include more free gifts.",,,,,,,,,,,
TC-H70-086-N,[人工兜底规则] 请问你们招人吗，我有个孩子要养【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「请问你们招人吗，我有个孩子要养」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 请问你们招人吗，我有个孩子要养. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,请问你们招人吗，我有个孩子要养,Are you hiring? I have a child to raise.,,,,,,,,,,,
TC-H70-087-N,[人工兜底规则] 滚蛋【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「滚蛋」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“滚蛋”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,滚蛋,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,滚蛋,Get lost,,,,,,,,,,,
TC-H70-088-N,[人工兜底规则] 你说的是什么我根本不懂【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「你说的是什么我根本不懂」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 你说的是什么我根本不懂. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,你说的是什么我根本不懂,I don't understand what you're saying at all.,,,,,,,,,,,
TC-H70-089-N,[人工兜底规则] 方便语音聊天嘛，我不想打字【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「方便语音聊天嘛，我不想打字」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should give a safe response first for this question: 方便语音聊天嘛，我不想打字; whether to hand off should follow business confirmation. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,方便语音聊天嘛，我不想打字,Is it convenient to use voice chat? I don't want to type.,,,,,,,,,,,
TC-H70-090-N,[人工兜底规则] 之前来你们店买了插头，这个是假的【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「之前来你们店买了插头，这个是假的」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“之前来你们店买了插头，这个是假的”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,之前来你们店买了插头，这个是假的,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,之前来你们店买了插头，这个是假的,"I bought a plug from your store before, but this one is fake.",,,,,,,,,,,
TC-H70-091-N,[人工兜底规则] 你说过会给我开发票【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「你说过会给我开发票」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“你说过会给我开发票”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,你说过会给我开发票,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,你说过会给我开发票,You said you would issue me an invoice.,,,,,,,,,,,
TC-H70-092-N,[官方身份说明] 骗子【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「骗子」。步骤3：核对机器人识别的业务场景是否为「官方身份说明」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should give a safe response first for this question: 骗子; whether to hand off should follow business confirmation. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,骗子,Scammer / Fraud,,,,,,,,,,,
TC-H70-093-N,[私域侧活动] 我可以把优惠券给我朋友吗【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「我可以把优惠券给我朋友吗」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 我可以把优惠券给我朋友吗. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我可以把优惠券给我朋友吗,Can I give my coupon to my friend?,,,,,,,,,,,
TC-H70-094-N,[提机规则] 我不在门店附近，我可以叫我朋友来帮我拿吗【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「我不在门店附近，我可以叫我朋友来帮我拿吗」。步骤3：核对机器人识别的业务场景是否为「提机规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should give a safe response first for this question: 我不在门店附近，我可以叫我朋友来帮我拿吗; whether to hand off should follow business confirmation. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我不在门店附近，我可以叫我朋友来帮我拿吗,I’m not near the store. Can I ask my friend to pick it up for me?,,,,,,,,,,,
TC-H70-095-N,[活动权益] 分期利息太高了买不起【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「分期利息太高了买不起」。步骤3：核对机器人识别的业务场景是否为「活动权益」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 分期利息太高了买不起. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,分期利息太高了买不起,"The installment interest is too high, I can’t afford it",,,,,,,,,,,
TC-H70-096-N,[活动权益] 请问可以砍价吗【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「请问可以砍价吗」。步骤3：核对机器人识别的业务场景是否为「活动权益」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 请问可以砍价吗. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,请问可以砍价吗,Can I bargain / negotiate the price?,,,,,,,,,,,
TC-H70-097-N,[人工兜底规则] （用户直接丢其他链接、视频 不回复）【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「（用户直接丢其他链接、视频 不回复）」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should give a safe response first for this question: （用户直接丢其他链接、视频 不回复）; whether to hand off should follow business confirmation. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,（用户直接丢其他链接、视频 不回复）,(User directly shares other links/videos without replying),,,,,,,,,,,
TC-H70-098-N,[私域侧活动] 我会预订但是你能不能先关注我的FB、IG【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「我会预订但是你能不能先关注我的FB、IG」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 我会预订但是你能不能先关注我的FB、IG. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我会预订但是你能不能先关注我的FB、IG,"I will book, but can you follow my FB/IG first?",,,,,,,,,,,
TC-H70-099-N,[HOT 70 Pro 商品信息] 我只有10k到15k预算能不能介绍别的手机给我【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「我只有10k到15k预算能不能介绍别的手机给我」。步骤3：核对机器人识别的业务场景是否为「HOT 70 Pro 商品信息」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“我只有10k到15k预算能不能介绍别的手机给我”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,我只有10k到15k预算能不能介绍别的手机给我,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我只有10k到15k预算能不能介绍别的手机给我,I only have a budget of 10k to 15k. Can you recommend another phone for me?,,,,,,,,,,,
TC-H70-100-N,[人工兜底规则] 小B商家自动欢迎语【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「小B商家自动欢迎语」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 小B商家自动欢迎语. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,小B商家自动欢迎语,Small B-merchant auto welcome message,,,,,,,,,,,
TC-H70-101-N,[官方身份说明] 请问我是和人聊天还是AI？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「请问我是和人聊天还是AI？」。步骤3：核对机器人识别的业务场景是否为「官方身份说明」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 请问我是和人聊天还是AI？. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,请问我是和人聊天还是AI？,Am I chatting with a human or AI?,,,,,,,,,,,
TC-H70-102-N,"[人工兜底规则] 国外版砍一刀I received ?450,000 , you should try it too, it's very easy!
https://myppu.buzz/FbOPwO/ng-en?0705563303645259897&s=wa&
留【待确认标准问答场景】","步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「国外版砍一刀I received ?450,000 , you should try it too, it's very easy!
https://myppu.buzz/FbOPwO/ng-en?0705563303645259897&s=wa&
留」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。","机器人应结合上下文识别“国外版砍一刀I received ?450,000 , you should try it too, it's very easy!
https://myppu.buzz/FbOPwO/ng-en?0705563303645259897&s=wa&
留”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。",是,"国外版砍一刀I received ?450,000 , you should try it too, it's very easy!
https://myppu.buzz/FbOPwO/ng-en?0705563303645259897&s=wa&
留",验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,"国外版砍一刀I received ?450,000 , you should try it too, it's very easy!
https://myppu.buzz/FbOPwO/ng-en?0705563303645259897&s=wa&
留","
“Overseas ‘bargain scam’: I received ?450,000…” (Phishing link alert!)",,,,,,,,,,,
TC-H70-103-N,"[人工兜底规则] *Auto Reply* 
Hey there! I am using Whatauto App.【待确认标准问答场景】","步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「*Auto Reply* 
Hey there! I am using Whatauto App.」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。","Bot should provide a relevant and safe answer to this question: *Auto Reply* 
Hey there! I am using Whatauto App.. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,"*Auto Reply* 
Hey there! I am using Whatauto App.","""*Auto Reply* 
Hey there! I am using Whatauto App.""",,,,,,,,,,,
TC-H70-104-N,[人工兜底规则] 我会炸了你全家 阿门【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「我会炸了你全家 阿门」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“我会炸了你全家 阿门”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,我会炸了你全家 阿门,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我会炸了你全家 阿门,I will blow up your whole family. Amen.,,,,,,,,,,,
TC-H70-105-N,[人工兜底规则] 我之前和你们店有过很多合作，【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「我之前和你们店有过很多合作，」。步骤3：核对机器人识别的业务场景是否为「人工兜底规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,机器人应结合上下文识别“我之前和你们店有过很多合作，”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,我之前和你们店有过很多合作，,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我之前和你们店有过很多合作，,"I have had a lot of cooperation with your store before,",,,,,,,,,,,
TC-H70-106-N,[活动权益] 我一年在你们店买了50多件商品了【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「我一年在你们店买了50多件商品了」。步骤3：核对机器人识别的业务场景是否为「活动权益」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,Bot should provide a relevant and safe answer to this question: 我一年在你们店买了50多件商品了. 验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。,否,无（标准咨询场景）,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我一年在你们店买了50多件商品了,I bought more than 50 products from your store in one year.,,,,,,,,,,,
